 PENTAD       20E      70E      80E     100E     120E     140E     160E     120W      40W      10W
19810518     0.29    -0.58    -0.86    -1.08    -1.02    -0.62     0.23     0.89     1.09     0.95
19810523     0.89     0.72     0.52     0.13    -0.29    -0.71    -0.83    -0.48    -0.02     0.48
19810528     0.63     0.71     0.58     0.34     0.02    -0.39    -0.69    -0.57    -0.26     0.15
19810602     0.60     0.83     0.73     0.51     0.18    -0.30    -0.71    -0.68    -0.41     0.01
19810607     1.02     1.60     1.45     1.09     0.48    -0.46    -1.37    -1.44    -0.97    -0.16
19810612     1.07     0.99     0.83     0.33    -0.22    -0.82    -1.10    -0.73    -0.17     0.47
19810617    -0.05    -0.11    -0.21    -0.15    -0.06     0.03     0.14     0.15     0.11     0.04
19810622     0.10    -0.36    -0.35    -0.57    -0.59    -0.38     0.10     0.50     0.62     0.53
19810627     0.32    -0.07    -0.13    -0.37    -0.48    -0.45    -0.15     0.22     0.42     0.50
19810702    -0.12    -0.51    -0.61    -0.61    -0.45    -0.11     0.39     0.63     0.59     0.34
19810707    -0.01    -1.09    -1.04    -1.37    -1.27    -0.66     0.50     1.30     1.43     1.07
19810712     0.20    -0.49    -0.60    -0.83    -0.83    -0.53     0.15     0.69     0.86     0.75
19810717    -0.79    -0.99    -1.01    -0.61    -0.10     0.52     1.01     0.88     0.46    -0.12
19810722    -1.53    -2.09    -1.80    -1.33    -0.49     0.73     1.88     1.88     1.18     0.02
19810727    -0.12    -1.59    -1.47    -1.89    -1.71    -0.83     0.77     1.82     1.96     1.42
19810801     1.70     0.61     0.18    -0.80    -1.50    -1.85    -1.25     0.01     0.99     1.69
19810806     1.44     1.49     1.32     0.64    -0.14    -1.05    -1.59    -1.18    -0.43     0.49
19810811     0.73     0.74     0.60     0.27    -0.10    -0.52    -0.77    -0.56    -0.19     0.27
19810816    -0.75    -0.04     0.09     0.58     0.90     0.95     0.48    -0.22    -0.70    -0.95
19810821    -0.33     0.18     0.29     0.56     0.66     0.54     0.09    -0.37    -0.59    -0.63
19810826    -0.46     0.44     0.57     1.00     1.12     0.85     0.03    -0.75    -1.09    -1.07
19810831    -1.36    -0.32    -0.12     0.78     1.38     1.60     0.96    -0.19    -1.02    -1.54
19810905    -1.45    -1.57    -1.31    -0.73     0.03     0.96     1.60     1.28     0.56    -0.40
19810910    -1.41    -1.63    -1.44    -0.83    -0.04     0.95     1.66     1.38     0.66    -0.30
19810915    -0.62    -1.47    -1.53    -1.39    -0.90     0.00     1.15     1.55     1.30     0.60
19810920     0.63    -0.64    -0.81    -1.40    -1.56    -1.19    -0.04     1.04     1.51     1.48
19810925     0.98    -0.08    -0.32    -0.99    -1.35    -1.30    -0.52     0.50     1.12     1.39
19810930     1.37     1.28     1.06     0.41    -0.30    -1.08    -1.45    -0.97    -0.24     0.60
19811005     0.05     0.84     0.91     1.07     0.93     0.42    -0.45    -0.99    -1.05    -0.76
19811010    -1.08    -0.59    -0.46     0.18     0.71     1.09     0.96     0.29    -0.34    -0.88
19811015    -0.13    -0.55    -0.58    -0.62    -0.49    -0.15     0.37     0.64     0.61     0.38
19811020     0.65     0.11    -0.03    -0.44    -0.69    -0.76    -0.41     0.15     0.54     0.77
19811025     0.55     0.20     0.01    -0.25    -0.45    -0.55    -0.37     0.01     0.31     0.53
19811030     0.16    -0.16    -0.35    -0.43    -0.40    -0.25     0.07     0.33     0.41     0.37
19811104     0.74    -0.33    -0.61    -1.13    -1.33    -1.12    -0.22     0.74     1.22     1.31
